Week number,Start Date,Location (county),Latitude,Longitude,AvgTemp,AvgPressure,AvgWindSpeed,Total number of birds testing positive
Week 5 (2021),2/1/2021,Lancashire,53.76,2.7,5.507142857499998,1008.8499995000002,25.342556534999996,1.0
Week 10 (2021),3/8/2021,West Yorkshire,53.8,1.75,10.12843166,1015.098261,19.80559404,1.0
Week 15 (2021),4/12/2021,Staffordshire,52.88,2.12,10.12843166,1015.098261,19.80559404,3.5
Week 15 (2021),4/12/2021,Fife,56.2081,3.149,10.12843166,1015.098261,19.80559404,3.0
Week 30 (2021),7/26/2021,"Shetland, Scotland",59.47095,1.149,10.12843166,1015.098261,19.80559404,3.0
Week 32 (2021),8/9/2021,"Flannan Isles, Outer Hebrides, Scotland",58.2833,6.0785,13.335714285500002,1011.314286,13.11428571,1.0
Week 33 (2021),8/16/2021,"St Kilda, Outer Hebrides, Scotland",57.8167,6.0785,10.12843166,1015.098261,19.80559404,3.0
Week 43(2021),10/25/2021,"Wrexham, Wales",53.0466,2.9925,13.335714285500002,1008.8499995000002,25.342556534999996,3.5
Week 43(2021),10/25/2021,Lancashire,53.76,2.7,13.335714285500002,1008.8499995000002,25.342556534999996,1.0
Week 43(2021),10/25/2021,Scotland,56.49,4.2,12.32857143,1015.098261,25.342556534999996,1.0
Week 43(2021),10/25/2021,Scotland,56.49,4.2,12.32857143,1015.098261,25.342556534999996,1.0
Week 43(2021),10/25/2021,Lancashire,53.76,2.7,13.335714285500002,1008.8499995000002,25.342556534999996,1.0
Week 43(2021),10/25/2021,Lancashire,53.76,2.7,13.335714285500002,1008.8499995000002,25.342556534999996,1.0
Week 44 (2021),11/1/2021,Worcestershire,52.1936,2.2216,10.12843166,1015.098261,19.80559404,3.5
Week 44 (2021),11/1/2021,Lancashire,53.76,2.7,11.22857143,1008.8499995000002,25.342556534999996,2.0
Week 44 (2021),11/1/2021,Lancashire,53.76,2.7,11.22857143,1008.8499995000002,25.342556534999996,1.0
Week 44 (2021),11/1/2021,Warwickshire,52.2671,1.4689,8.014285714,1010.257143,18.91428571,1.0
Week 44 (2021),11/1/2021,Warwickshire,52.2671,1.4689,8.014285714,1010.257143,18.91428571,3.5
Week 44 (2021),11/1/2021,Norfolk,52.6309,1.2974,8.257142857,1009.814286,16.57142857,1.0
Week 44 (2021),11/1/2021,North Yorkshire,54.2,1.3,10.12843166,1015.098261,19.80559404,1.0
Week 44 (2021),11/1/2021,Lancashire,53.76,2.7,11.22857143,1008.8499995000002,25.342556534999996,2.0
Week 44 (2021),11/1/2021,Carmarthenshire,51.86,4.0558,9.842857143,1009.6,25.342556534999996,1.0
Week 45 (2021) ,11/8/2021,Lancashire,53.76,2.7,12.0,1018.485714,24.5,3.0
Week 45 (2021) ,11/8/2021,Stratford-on-Avon District Council,52.1917,1.707,10.12843166,1015.098261,19.80559404,3.5
Week 45 (2021) ,11/8/2021,Richmondshire,54.4,1.7333,10.12843166,1015.098261,19.80559404,3.5
Week 45 (2021) ,11/8/2021,Bury,53.5933,2.2966,10.12843166,1015.098261,19.80559404,1.0
Week 45 (2021) ,11/8/2021,Ceredigion,52.4,4.083,10.38571429,1020.071429,22.24285714,2.0
Week 45 (2021) ,11/8/2021,City of Carlisle,54.8925,2.9329,10.12843166,1015.098261,19.80559404,1.0
Week 45 (2021) ,11/8/2021,East Riding of Yorkshire,53.833,0.433,10.12843166,1015.098261,19.80559404,2.0
Week 45 (2021) ,11/8/2021,"Pewsey, Wilts",51.339,1.77,10.87142857,1020.542857,14.38571429,1.0
Week 45 (2021) ,11/8/2021,Tewkesbury Borough,51.995,2.1628,10.12843166,1015.098261,19.80559404,1.0
Week 45 (2021) ,11/8/2021,Wokingham Borough ,51.41,0.84,11.24285714,1020.014286,12.15714286,1.0
Week 45 (2021) ,11/8/2021,Malvern Hills District Council,52.1106,2.3252,10.12843166,1015.098261,19.80559404,3.0
Week 45 (2021) ,11/8/2021,West Lancashire,53.583,2.833,12.0,1018.485714,24.5,1.0
Week 45 (2021) ,11/8/2021,Borough Council of Kings Lynn and West Norfolk,52.75,0.4,10.47142857,1019.5,14.21428571,3.5
Week 46 (2021) ,11/15/2021,Fylde Borough Council,53.783,2.95,11.34285714,1021.4785714999998,25.342556534999996,2.0
Week 46 (2021) ,11/15/2021,Arun ,50.825,0.5536,9.057142857,1021.4785714999998,10.577323215000003,1.0
Week 46 (2021) ,11/15/2021,Lichfield,52.683,1.8275,8.8,1021.4785714999998,14.35714286,2.0
Week 46 (2021) ,11/15/2021,Dumfries and Galloway,55.07,3.605,10.12843166,1015.098261,19.80559404,1.0
Week 46 (2021) ,11/15/2021,Fife,56.2081,3.149,10.12843166,1015.098261,19.80559404,1.0
Week 46 (2021) ,11/15/2021,Powys,52.29,3.42,11.14285714,1021.4785714999998,23.4,1.0
Week 46 (2021) ,11/15/2021,Sefton Metropolitan Borough Council,53.5036,3.003,11.01428571,1021.4785714999998,25.342556534999996,3.0
Week 46 (2021) ,11/15/2021,Lancaster,54.05,2.8,11.34285714,1021.4785714999998,25.342556534999996,1.0
Week 46 (2021) ,11/15/2021,Lancaster,54.05,2.8,11.34285714,1021.4785714999998,25.342556534999996,1.0
Week 46 (2021) ,11/15/2021,South Lakeland District Council,54.3225,2.7483,11.02857143,1020.971429,25.342556534999996,2.0
Week 46 (2021) ,11/15/2021,Dumfries and Galloway,55.07,3.605,10.12843166,1015.098261,19.80559404,1.0
Week 46 (2021) ,11/15/2021,Fylde Borough Council,53.783,2.95,11.34285714,1021.4785714999998,25.342556534999996,1.0
Week 46 (2021) ,11/15/2021,Bury,53.5933,2.2966,10.12843166,1015.098261,19.80559404,1.0
Week 46 (2021) ,11/15/2021,West Lancashire,53.583,2.833,11.34285714,1021.4785714999998,25.342556534999996,2.0
Week 46 (2021) ,11/15/2021,Stockport Metropolitan Borough Council,53.4106,2.1575,10.12843166,1015.098261,19.80559404,2.0
Week 46 (2021) ,11/15/2021,Fylde Borough Council,53.783,2.95,11.34285714,1021.4785714999998,25.342556534999996,2.0
Week 46 (2021) ,11/15/2021,Blackpool Borough Council,53.8175,3.0357,11.34285714,1021.4785714999998,25.342556534999996,2.0
Week 46 (2021) ,11/15/2021,Rushcliffe Borough Council,52.92,1.13,9.271428571,1021.4785714999998,13.08571429,1.0
Week 46 (2021) ,11/15/2021,Borough Council of Kings Lynn and West Norfolk,52.75,0.4,7.571428571,1021.4785714999998,12.67142857,1.0
Week 46 (2021) ,11/15/2021,Craven District Council,54.0071,2.1628,10.12843166,1015.098261,19.80559404,1.0
Week 46 (2021) ,11/15/2021,Northumberland,52.4,0.7,8.342857143,1021.4785714999998,10.9,2.0
Week 46 (2021) ,11/15/2021,Northumberland,52.4,0.7,8.342857143,1021.4785714999998,10.9,1.0
Week 46 (2021) ,11/15/2021,Stockton-on-Tees Borough Council,54.57,1.32,10.12843166,1015.098261,19.80559404,1.0
Week 46 (2021) ,11/15/2021,Bury,53.5933,2.2966,10.12843166,1015.098261,19.80559404,1.0
Week 46 (2021) ,11/15/2021,Lichfield District Council,52.68,1.82,8.8,1021.4785714999998,14.35714286,2.0
Week 46 (2021) ,11/15/2021,Stroud District Council,51.745,2.2175,10.12843166,1015.098261,19.80559404,1.0
Week 46 (2021) ,11/15/2021,Dumfries and Galloway,55.07,3.605,10.12843166,1015.098261,19.80559404,1.0
